,GWO,AO,BBO,ARO
259,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
260,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
261,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
262,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
263,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
264,25620.537461874195,25620.537551150912,25620.766605207486,25620.53722884884
265,25620.537362198174,25620.537551150912,25620.766605207486,25620.53722884884
266,25620.537362198174,25620.537551150912,25620.766605207486,25620.53722884884
267,25620.537362198174,25620.537551150912,25620.766605207486,25620.53722884884
268,25620.537362198174,25620.537551150912,25620.766605207486,25620.53722884884
269,25620.537362198174,25620.537551150912,25620.766605207486,25620.53722884884
270,25620.537362198174,25620.537551150912,25620.766605207486,25620.53722884884
271,25620.537362198174,25620.537551150912,25620.766605207486,25620.53722884884
272,25620.537362198174,25620.537551150912,25620.766605207486,25620.53722884884
273,25620.537362198174,25620.537551150912,25620.766605207486,25620.53722884884
274,25620.537362198174,25620.537551150912,25620.766605207486,25620.53722884884
275,25620.537362198174,25620.537551150912,25620.766605207486,25620.53722884884
276,25620.537362198174,25620.537551150912,25620.766605207486,25620.53722884884
277,25620.537362198174,25620.537551150912,25620.766605207486,25620.53722884884
278,25620.537362198174,25620.537551150912,25620.766605207486,25620.53722884884
279,25620.537362198174,25620.537551150912,25620.766605207486,25620.53722884884
280,25620.537362198174,25620.537551150912,25620.766605207486,25620.53722884884
281,25620.537362198174,25620.537551150912,25620.766605207486,25620.53722884884
282,25620.537362198174,25620.537551150912,25620.766605207486,25620.53722884884
283,25620.537362198174,25620.537551150912,25620.766605207486,25620.53722884884
284,25620.537362198174,25620.537551150912,25620.766605207486,25620.53722884884
285,25620.537362198174,25620.537551150912,25620.766605207486,25620.53722884884
286,25620.537362198174,25620.537551150912,25620.766605207486,25620.53722884884
287,25620.537362198174,25620.537551150912,25620.766605207486,25620.53722884884
288,25620.537362198174,25620.537551150912,25620.766605207486,25620.53722884884
289,25620.537362198174,25620.537551150912,25620.766605207486,25620.53722884884
290,25620.537362198174,25620.537551150912,25620.766605207486,25620.53722884884
291,25620.537362198174,25620.537551150912,25620.766605207486,25620.53722884884
292,25620.537362198174,25620.537551150912,25620.766605207486,25620.53722884884
293,25620.537362198174,25620.537551150912,25620.766605207486,25620.53722884884
294,25620.537362198174,25620.537551150912,25620.766605207486,25620.53722884884
295,25620.537362198174,25620.537551150912,25620.766605207486,25620.53722884884
296,25620.537362198174,25620.537551150912,25620.766605207486,25620.53722884884
297,25620.537362198174,25620.537551150912,25620.766605207486,25620.53722884884
298,25620.537362198174,25620.537551150912,25620.766605207486,25620.53722884884
299,25620.537362198174,25620.537551150912,25620.766605207486,25620.53722884884
300,25620.537362198174,25620.537551150912,25620.766605207486,25620.53722884884
301,25620.537362198174,25620.537551150912,25620.766605207486,25620.53722884884
302,25620.537362198174,25620.537551150912,25620.766605207486,25620.53722884884
303,25620.537362198174,25620.537551150912,25620.766605207486,25620.53722884884
304,25620.537362198174,25620.537551150912,25620.766605207486,25620.53722884884
305,25620.537362198174,25620.537551150912,25620.766605207486,25620.53722884884
306,25620.537362198174,25620.537551150912,25620.766605207486,25620.53722884884
307,25620.537362198174,25620.537551150912,25620.766605207486,25620.53722884884
308,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
309,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
310,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
311,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
312,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
313,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
314,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
315,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
316,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
317,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
318,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
319,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
320,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
321,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
322,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
323,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
324,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
325,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
326,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
327,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
328,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
329,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
330,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
331,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
332,25620.537362198174,25620.537551150912,25620.573351864416,25620.53722884884
