,BBO,GWO,AO,ARO
138,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
139,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
140,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
141,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
142,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
143,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
144,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
145,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
146,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
147,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
148,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
149,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
150,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
151,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
152,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
153,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
154,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
155,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
156,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
157,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
158,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
159,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
160,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
161,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
162,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
163,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
164,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
165,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
166,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
167,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
168,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
169,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
170,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
171,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
172,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
173,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
174,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
175,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
176,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
177,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
178,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
179,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
180,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
181,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
182,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
183,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
184,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
185,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
186,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
187,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
188,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
189,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
190,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
191,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
192,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
193,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
194,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
195,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
196,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
197,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
198,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
199,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
200,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
201,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
202,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
203,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
204,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
205,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
206,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
207,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
208,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
209,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
210,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
211,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
212,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
213,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
214,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
215,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
216,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
217,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
218,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
219,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
220,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
221,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
222,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
223,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
224,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
225,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
226,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
227,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
228,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
229,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
230,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
231,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
232,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
233,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
234,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
235,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
236,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
237,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
238,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
239,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
240,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
241,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
242,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
243,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
244,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
245,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
246,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
247,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
248,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
249,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
250,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
251,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
252,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
253,22794.255322417623,22789.755559204754,22894.778702864267,22788.95727577727
254,22792.113042308432,22789.755559204754,22894.778702864267,22788.95727577727
255,22792.113042308432,22789.755559204754,22894.778702864267,22788.95727577727
256,22792.113042308432,22789.755559204754,22894.778702864267,22788.95727577727
257,22792.113042308432,22789.755559204754,22894.778702864267,22788.95727577727
258,22792.113042308432,22789.755559204754,22894.778702864267,22788.95727577727
259,22792.113042308432,22789.755559204754,22894.778702864267,22788.95727577727
260,22792.113042308432,22789.755559204754,22894.778702864267,22788.95727577727
261,22792.113042308432,22789.755559204754,22894.778702864267,22788.95727577727
262,22792.113042308432,22789.755559204754,22894.778702864267,22788.95727577727
263,22792.113042308432,22789.755559204754,22894.778702864267,22788.95727577727
264,22792.113042308432,22789.755559204754,22894.778702864267,22788.95727577727
265,22792.113042308432,22789.755559204754,22894.778702864267,22788.95727577727
266,22792.113042308432,22789.755559204754,22894.778702864267,22788.95727577727
267,22792.113042308432,22789.755559204754,22894.778702864267,22788.95727577727
268,22792.113042308432,22789.755559204754,22894.778702864267,22788.95727577727
269,22792.113042308432,22789.755559204754,22894.778702864267,22788.95727577727
270,22792.113042308432,22789.755559204754,22894.778702864267,22788.95727577727
271,22792.113042308432,22789.755559204754,22894.778702864267,22788.95727577727
272,22792.113042308432,22789.755559204754,22894.778702864267,22788.95727577727
273,22792.113042308432,22789.755559204754,22894.778702864267,22788.95727577727
