,GWO,AO,ARO,BBO
38,22804.28877080504,22865.103803316382,22799.04505273899,22880.12933012303
39,22804.28877080504,22865.103803316382,22799.04505273899,22880.12933012303
40,22804.28877080504,22865.103803316382,22799.04505273899,22880.12933012303
41,22804.28877080504,22865.103803316382,22799.04505273899,22880.12933012303
42,22804.28877080504,22865.103803316382,22799.04505273899,22880.12933012303
43,22804.28877080504,22865.103803316382,22799.04505273899,22880.12933012303
44,22804.28877080504,22865.103803316382,22799.04505273899,22880.12933012303
45,22804.28877080504,22865.103803316382,22799.04505273899,22880.12933012303
46,22804.28877080504,22865.103803316382,22799.04505273899,22880.12933012303
47,22804.28877080504,22865.103803316382,22799.04505273899,22871.59421711399
48,22804.28877080504,22865.103803316382,22799.04505273899,22871.59421711399
49,22804.28877080504,22865.103803316382,22799.04505273899,22871.59421711399
50,22804.28877080504,22865.103803316382,22799.04505273899,22871.59421711399
51,22804.28877080504,22865.103803316382,22799.04505273899,22871.59421711399
52,22804.28877080504,22865.103803316382,22799.04505273899,22871.59421711399
53,22804.28877080504,22865.103803316382,22799.04505273899,22871.59421711399
54,22804.28877080504,22865.103803316382,22795.1868910459,22871.59421711399
55,22804.28877080504,22865.103803316382,22795.1868910459,22871.59421711399
56,22804.28877080504,22865.103803316382,22795.1868910459,22871.59421711399
57,22804.28877080504,22865.103803316382,22795.1868910459,22871.59421711399
58,22804.28877080504,22865.103803316382,22795.1868910459,22871.59421711399
59,22804.28877080504,22865.103803316382,22795.1868910459,22871.59421711399
60,22802.358354953274,22865.103803316382,22795.1868910459,22871.59421711399
61,22802.358354953274,22865.103803316382,22795.1868910459,22871.59421711399
62,22801.140407643416,22865.103803316382,22795.1868910459,22871.59421711399
63,22801.140407643416,22865.103803316382,22795.1868910459,22871.59421711399
64,22801.140407643416,22865.103803316382,22795.1868910459,22871.59421711399
65,22801.140407643416,22865.103803316382,22795.1868910459,22871.59421711399
66,22801.140407643416,22865.103803316382,22795.1868910459,22871.59421711399
67,22801.140407643416,22865.103803316382,22795.1868910459,22871.59421711399
68,22801.140407643416,22865.103803316382,22795.1868910459,22871.59421711399
69,22801.140407643416,22865.103803316382,22795.1868910459,22871.59421711399
70,22801.140407643416,22865.103803316382,22795.1868910459,22871.59421711399
71,22801.140407643416,22865.103803316382,22795.1868910459,22871.59421711399
72,22801.140407643416,22865.103803316382,22795.1868910459,22871.59421711399
73,22801.140407643416,22865.103803316382,22795.1868910459,22871.59421711399
74,22801.140407643416,22865.103803316382,22795.1868910459,22871.59421711399
75,22801.140407643416,22865.103803316382,22795.1868910459,22871.59421711399
76,22801.140407643416,22865.103803316382,22795.1868910459,22871.59421711399
77,22801.140407643416,22865.103803316382,22795.1868910459,22871.59421711399
78,22801.140407643416,22865.103803316382,22795.1868910459,22871.59421711399
79,22801.140407643416,22865.103803316382,22795.1868910459,22871.59421711399
80,22801.140407643416,22865.103803316382,22791.74351915811,22871.59421711399
81,22801.140407643416,22865.103803316382,22791.74351915811,22871.59421711399
82,22801.140407643416,22865.103803316382,22791.74351915811,22870.449372400268
83,22801.140407643416,22865.103803316382,22791.74351915811,22870.449372400268
84,22801.140407643416,22865.103803316382,22791.74351915811,22870.449372400268
85,22801.140407643416,22865.103803316382,22791.74351915811,22870.449372400268
86,22801.140407643416,22865.103803316382,22791.74351915811,22870.449372400268
87,22801.140407643416,22865.103803316382,22791.74351915811,22870.449372400268
88,22801.140407643416,22865.103803316382,22791.74351915811,22870.449372400268
89,22801.140407643416,22865.103803316382,22791.74351915811,22870.449372400268
90,22801.140407643416,22865.103803316382,22791.74351915811,22870.449372400268
91,22801.140407643416,22865.103803316382,22791.74351915811,22870.449372400268
92,22801.140407643416,22865.103803316382,22791.74351915811,22870.449372400268
93,22801.140407643416,22865.103803316382,22791.74351915811,22870.449372400268
94,22801.140407643416,22865.103803316382,22791.74351915811,22870.449372400268
95,22801.140407643416,22865.103803316382,22790.76432640377,22870.449372400268
96,22801.140407643416,22865.103803316382,22790.76432640377,22820.192057895867
97,22801.140407643416,22865.103803316382,22790.76432640377,22820.192057895867
98,22801.140407643416,22865.103803316382,22790.76432640377,22820.192057895867
99,22801.140407643416,22865.103803316382,22790.76432640377,22820.192057895867
100,22801.140407643416,22865.103803316382,22790.76432640377,22820.192057895867
101,22801.140407643416,22865.103803316382,22790.76432640377,22820.192057895867
102,22801.140407643416,22865.103803316382,22790.76432640377,22820.192057895867
103,22801.110388516234,22865.103803316382,22790.76432640377,22820.192057895867
104,22801.110388516234,22865.103803316382,22790.76432640377,22820.192057895867
105,22801.110388516234,22865.103803316382,22790.76432640377,22820.192057895867
106,22801.110388516234,22865.103803316382,22790.76432640377,22820.192057895867
107,22801.110388516234,22865.103803316382,22790.76432640377,22820.192057895867
108,22801.110388516234,22865.103803316382,22790.76432640377,22820.192057895867
109,22801.110388516234,22865.103803316382,22790.76432640377,22820.192057895867
110,22801.110388516234,22865.103803316382,22790.76432640377,22805.234367293997
111,22798.05110054885,22865.103803316382,22790.76432640377,22805.234367293997
112,22798.05110054885,22865.103803316382,22790.76432640377,22805.234367293997
113,22798.05110054885,22865.103803316382,22790.76432640377,22805.234367293997
114,22798.05110054885,22841.91560212007,22790.76432640377,22805.234367293997
115,22798.05110054885,22841.91560212007,22790.76432640377,22805.234367293997
116,22798.05110054885,22841.91560212007,22790.76432640377,22805.234367293997
117,22798.05110054885,22841.91560212007,22790.76432640377,22805.234367293997
118,22798.05110054885,22841.91560212007,22790.76432640377,22805.234367293997
119,22798.05110054885,22841.91560212007,22790.76432640377,22798.795827585305
120,22790.87327307099,22841.91560212007,22790.76432640377,22798.795827585305
121,22790.87327307099,22841.91560212007,22790.76432640377,22798.795827585305
122,22790.87327307099,22841.91560212007,22790.76432640377,22798.795827585305
123,22790.87327307099,22841.91560212007,22790.76432640377,22798.795827585305
124,22790.87327307099,22841.91560212007,22790.76432640377,22798.795827585305
125,22790.87327307099,22841.91560212007,22790.76432640377,22798.795827585305
126,22790.87327307099,22841.91560212007,22790.76432640377,22798.795827585305
127,22790.87327307099,22841.91560212007,22790.76432640377,22798.795827585305
128,22790.87327307099,22841.91560212007,22789.94955270568,22798.795827585305
129,22790.87327307099,22841.91560212007,22789.94955270568,22798.795827585305
130,22790.87327307099,22841.91560212007,22789.94955270568,22798.795827585305
131,22790.87327307099,22841.91560212007,22789.94955270568,22798.795827585305
132,22790.87327307099,22841.91560212007,22789.94955270568,22798.795827585305
133,22790.87327307099,22841.91560212007,22789.94955270568,22798.795827585305
134,22790.87327307099,22841.91560212007,22789.94955270568,22798.795827585305
135,22790.87327307099,22841.91560212007,22789.94955270568,22798.795827585305
136,22790.87327307099,22841.91560212007,22789.94955270568,22798.795827585305
137,22790.87327307099,22841.91560212007,22789.94955270568,22798.795827585305
138,22790.87327307099,22841.91560212007,22789.94955270568,22798.795827585305
139,22790.87327307099,22841.91560212007,22789.94955270568,22798.795827585305
140,22790.87327307099,22841.91560212007,22789.94955270568,22798.795827585305
141,22790.87327307099,22841.91560212007,22789.94955270568,22798.795827585305
142,22790.87327307099,22841.91560212007,22789.94955270568,22798.795827585305
143,22790.87327307099,22841.91560212007,22789.94955270568,22798.795827585305
